iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.9375	451.425	100.0	442	100.0	442	6.05200719833374
1	100.0125	449.1625	101.0	449	101.0	449	11.503891944885254
2	100.075	449.875	104.0	459	104.0	459	11.486137866973877
3	100.075	450.85	104.0	459	104.0	459	12.483148336410522
4	100.1125	451.4875	104.0	459	104.0	459	12.025686740875244
5	100.1375	451.55	104.0	459	104.0	459	11.938318252563477
6	100.15	451.8125	104.0	459	104.0	459	14.11907410621643
7	100.15	449.075	104.0	459	104.0	459	10.498802185058594
8	100.175	448.05	104.0	459	104.0	459	10.579895973205566
9	100.1875	447.325	104.0	459	104.0	459	14.12594223022461
10	100.1875	449.8125	104.0	459	104.0	459	12.842740058898926
11	100.325	452.875	105.0	452	105.0	452	12.664522886276245
12	100.825	453.725	118.0	468	118.0	468	11.880201816558838
13	100.85	454.0625	118.0	468	118.0	468	14.342849016189575
14	100.8625	455.875	118.0	468	118.0	468	11.976647853851318
15	100.85	455.0875	118.0	468	118.0	468	11.620885133743286
16	101.175	457.85	121.0	481	121.0	481	17.358655214309692
17	101.5375	459.8875	121.0	481	121.0	481	18.096620321273804
18	101.125	456.1375	121.0	481	121.0	481	18.21760082244873
19	101.1625	455.3875	121.0	481	121.0	481	14.48475456237793
20	102.2125	460.15	140.0	498	140.0	498	30.673344135284424
21	102.0875	464.1	140.0	498	140.0	498	22.501325607299805
22	101.9625	462	140.0	498	140.0	498	23.66440224647522
23	101.7125	463.925	140.0	498	140.0	498	78.79263472557068
24	101.7125	464.625	140.0	498	140.0	498	31.320898056030273
25	102.2125	464.1625	140.0	498	140.0	498	16.88381600379944
26	102.95	465.7375	144.0	494	144.0	494	33.73564052581787
27	102.95	471.0875	144.0	494	144.0	494	40.94877338409424
28	104.2875	473.85	144.0	494	144.0	494	29.32567024230957
29	106.9125	475.15	149.0	502	149.0	502	91.88008952140808
30	106.875	482.8875	153.0	482	153.0	482	129.3580412864685
