iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.9625	452.45	103.0	462	103.0	462	4.544449329376221
1	100.3125	454.35	108.0	457	108.0	457	9.711223125457764
2	100.9	455.15	114.0	458	114.0	458	11.916204452514648
3	101.9	457.5125	133.0	461	133.0	461	11.612367868423462
4	102.95	458.6	133.0	461	133.0	461	13.702015399932861
5	106.5375	461.825	148.0	475	148.0	475	14.708711624145508
6	106.2625	456.975	148.0	475	148.0	475	13.436128377914429
7	108.5875	461.7875	148.0	475	148.0	475	18.37355637550354
8	108.2125	464.4125	148.0	475	148.0	475	43.526384592056274
9	108.1125	464.8375	148.0	475	148.0	475	21.347061157226562
10	115.075	474.575	159.0	481	159.0	481	40.360231161117554
11	113.5625	473.625	159.0	481	159.0	481	35.956791639328
12	115.9125	480.35	159.0	481	159.0	481	47.69844603538513
13	113.2125	473.5625	159.0	481	159.0	481	51.254072427749634
14	113.3625	478.975	159.0	481	159.0	481	80.87918066978455
15	117.3125	482.2	169.0	487	169.0	487	46.041749477386475
16	119.1625	477.7625	169.0	487	169.0	487	36.22252869606018
17	123.275	483.45	173.0	512	173.0	512	42.98684787750244
18	119.9875	485.3375	173.0	512	173.0	512	59.147568464279175
19	122.375	488.05	173.0	512	173.0	512	107.03350782394409
20	122.6875	491.975	173.0	512	173.0	512	102.56876826286316
21	118.4375	491.325	173.0	512	173.0	512	122.76227474212646
22	120.0	494.825	173.0	512	173.0	512	266.29498744010925
23	115.25	489.7125	173.0	512	173.0	512	584.7512829303741
24	118.3875	483.925	173.0	512	173.0	512	90.96775150299072
25	118.05	483.325	173.0	512	173.0	512	81.75577855110168
26	124.075	502.325	173.0	512	173.0	512	230.80517768859863
27	126.8875	504.825	173.0	512	173.0	512	243.96770524978638
28	120.6875	501.225	173.0	512	173.0	512	278.38293528556824
29	125.0	509.0125	173.0	512	173.0	512	351.6379153728485
30	127.3875	508.3125	173.0	512	173.0	512	321.02791833877563
