iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.9875	451.675	100.0	444	100.0	444	3.9006969928741455
1	100.0	452.575	101.0	456	101.0	456	9.46440863609314
2	100.075	451.5875	105.0	461	105.0	461	13.409582614898682
3	100.1	449.1625	105.0	461	105.0	461	11.010136365890503
4	100.1625	449.1625	107.0	456	107.0	456	9.966416120529175
5	100.0875	445.9375	107.0	456	107.0	456	10.814429759979248
6	100.0875	445.2625	107.0	456	107.0	456	9.440598964691162
7	100.0875	446.7625	107.0	456	107.0	456	11.335554599761963
8	100.1125	449	107.0	456	107.0	456	12.59551215171814
9	100.1	449.5625	107.0	456	107.0	456	10.02108097076416
10	100.0875	451.575	107.0	456	107.0	456	9.607831239700317
11	100.0625	451.75	107.0	456	107.0	456	10.11577844619751
12	100.1375	453.4125	107.0	456	107.0	456	11.821749925613403
13	100.1375	451.875	107.0	456	107.0	456	9.407983779907227
14	100.1	451.8625	107.0	456	107.0	456	9.036975383758545
15	100.3625	453.0125	121.0	453	121.0	453	11.67389702796936
16	100.5375	451.4875	122.0	452	122.0	452	8.82100772857666
17	100.775	452.6625	130.0	456	130.0	456	9.18245267868042
18	101.2375	452.025	143.0	457	143.0	457	10.693420648574829
19	100.9625	455.8375	143.0	457	143.0	457	16.52812361717224
20	101.9375	455.7	143.0	457	143.0	457	12.875505685806274
21	101.875	458.2	143.0	457	143.0	457	17.949336767196655
22	101.55	458.8875	143.0	457	143.0	457	13.568819522857666
23	101.375	457.675	148.0	472	148.0	472	14.925050497055054
24	102.825	457.3625	156.0	477	156.0	477	16.0912926197052
25	101.2	457.125	156.0	477	156.0	477	25.187443494796753
26	101.1125	459.5375	156.0	477	156.0	477	16.123519897460938
27	100.9375	465.4875	156.0	477	156.0	477	85.11607193946838
28	100.7	467	156.0	477	156.0	477	28.36583399772644
29	101.025	460.2625	156.0	477	156.0	477	16.364978313446045
30	100.7	463.1875	156.0	477	156.0	477	13.376086711883545
