iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.975	451.4125	101.0	457	101.0	457	3.848153591156006
1	100.025	450.4875	101.0	455	101.0	457	11.733802795410156
2	100.0625	450.625	101.0	455	101.0	457	10.545210361480713
3	100.1125	449.425	102.0	458	102.0	458	16.290414810180664
4	100.25	451.4125	104.0	471	104.0	471	11.955145120620728
5	100.5125	455.0625	105.0	454	105.0	454	12.063956499099731
6	101.2	459.7625	121.0	470	121.0	470	14.908773183822632
7	103.0875	458.2375	155.0	472	155.0	472	14.58045244216919
8	102.9875	457.95	155.0	472	155.0	472	14.607645988464355
9	103.3	461.1625	155.0	472	155.0	472	16.245856285095215
10	104.275	460.075	155.0	472	155.0	472	20.266107320785522
11	104.0875	462.3	155.0	472	155.0	472	14.160147428512573
12	104.675	462.5875	155.0	472	155.0	472	13.081772804260254
13	108.0	467.425	155.0	472	155.0	472	20.30992078781128
14	106.2375	470.05	155.0	472	155.0	472	26.819897413253784
15	110.25	475.8375	155.0	472	155.0	472	52.715806007385254
16	105.725	469.1875	155.0	472	155.0	472	31.990676164627075
17	105.9625	463.225	160.0	491	160.0	491	54.1815402507782
18	107.275	466.0375	160.0	491	160.0	491	35.398200035095215
19	107.0125	470.375	160.0	491	160.0	491	39.27558708190918
20	109.7625	472.45	166.0	493	166.0	493	30.201664924621582
21	112.125	479.1625	166.0	493	166.0	493	43.06794786453247
22	111.075	477.3375	166.0	493	166.0	493	53.911866664886475
23	108.0	477.6	166.0	493	166.0	493	115.94094109535217
24	107.8875	474.3625	166.0	493	166.0	493	65.34722709655762
25	108.4	476.775	166.0	493	166.0	493	51.085060596466064
26	106.15	471.6	166.0	493	166.0	493	37.971020221710205
27	105.7875	472.425	166.0	493	166.0	493	48.91175556182861
28	110.4375	477.6875	166.0	493	166.0	493	47.58146262168884
29	111.0875	483.4875	166.0	493	166.0	493	45.10623240470886
30	110.75	483.425	166.0	493	166.0	493	76.41901063919067
