iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.95	476.1	101.0	483	101.0	483	4.540931940078735
1	100.2375	474.6875	112.0	484	112.0	484	13.23866605758667
2	100.3	477.0375	112.0	484	112.0	484	9.969974994659424
3	100.7	478.9625	112.0	484	112.0	484	12.350407838821411
4	101.075	478.375	112.0	484	112.0	484	15.171628475189209
5	101.95	479.7875	129.0	487	129.0	487	12.851614952087402
6	102.725	481.4875	129.0	487	129.0	487	16.91330099105835
7	103.925	482.375	130.0	494	130.0	494	14.299053430557251
8	105.7	488.2875	137.0	512	137.0	512	26.00121521949768
9	107.175	489.9625	144.0	508	144.0	508	28.303903341293335
10	105.2	487.575	144.0	508	144.0	508	34.06602430343628
11	105.4125	489.95	144.0	508	144.0	508	36.42848825454712
12	104.9625	488.95	144.0	508	144.0	508	55.55126452445984
13	107.225	497.5875	144.0	508	144.0	508	110.49946784973145
14	107.1875	497.325	144.0	508	144.0	508	58.57918953895569
15	107.0125	497.8875	144.0	508	144.0	508	71.04039525985718
16	108.6125	500.8	149.0	521	149.0	521	76.88689541816711
17	108.975	506.7125	149.0	521	149.0	521	150.66946816444397
18	110.2	515.725	149.0	521	149.0	521	312.41971039772034
19	110.0375	513.0625	149.0	521	149.0	521	220.22071313858032
20	113.05	522.8375	149.0	521	149.0	521	184.03688406944275
21	107.7875	509.9	149.0	521	149.0	521	97.18155884742737
22	110.7	520.6625	149.0	521	149.0	521	179.81515216827393
23	110.5375	520.4	149.0	521	149.0	521	230.57979774475098
24	110.075	513.3375	152.0	548	152.0	548	157.13185691833496
25	110.475	511.55	152.0	550	152.0	548	185.55743885040283
26	111.8875	522.3	152.0	548	152.0	548	305.3915331363678
27	112.475	530.975	167.0	551	167.0	551	379.9110200405121
28	117.1375	543.15	167.0	551	167.0	551	946.0928928852081
29	115.65	536.7625	167.0	551	167.0	551	648.60280418396
30	116.9	542.7125	167.0	551	167.0	551	853.4193274974823
