iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.0	452.2625	101.0	453	101.0	453	5.054161310195923
1	100.05	451.85	101.0	460	101.0	453	12.557889461517334
2	100.0875	452.825	101.0	461	101.0	453	12.956979751586914
3	100.1375	453.275	101.0	459	101.0	453	12.004976987838743
4	100.2625	455.6125	105.0	480	105.0	480	12.004459857940674
5	100.225	455.225	105.0	480	105.0	480	10.380483388900757
6	100.275	454.2375	105.0	480	105.0	480	12.834609270095823
7	100.625	458.975	109.0	476	109.0	476	12.1464204788208
8	100.925	460.3625	114.0	465	114.0	465	12.717767238616943
9	101.2875	463.375	114.0	465	114.0	465	18.62273740768433
10	103.05	467.3625	145.0	513	145.0	513	28.621098041534424
11	104.1	468.975	145.0	513	145.0	513	23.539721965789795
12	106.5125	474.7375	153.0	499	153.0	499	36.56134581565857
13	107.875	479.4	153.0	499	153.0	499	67.46694421768188
14	107.6125	482.0875	153.0	499	153.0	499	59.82936453819275
15	104.8875	472.825	153.0	499	153.0	499	50.456305742263794
16	106.8375	478.2125	153.0	499	153.0	499	54.709938526153564
17	109.6875	488.95	157.0	516	157.0	516	85.60395622253418
18	108.0625	486.3625	157.0	516	157.0	516	48.111053705215454
19	108.95	491.2625	157.0	516	157.0	516	67.89563918113708
20	108.85	499.15	157.0	516	157.0	516	143.75012302398682
21	112.8375	504.0375	157.0	516	157.0	516	234.73613381385803
22	109.4375	494.95	157.0	516	157.0	516	117.10044884681702
23	112.8625	512.2125	157.0	516	157.0	516	280.5861728191376
24	108.875	494.4	157.0	516	157.0	516	527.1570353507996
25	110.6875	516.3375	157.0	516	157.0	516	1264.602731466293
26	109.5375	525.5	157.0	516	157.0	516	736.613162279129
27	109.1625	509.5125	157.0	518	157.0	516	448.3680083751679
28	110.5875	511.9625	157.0	518	157.0	516	344.4941055774689
29	112.4375	532.075	157.0	516	157.0	516	887.0070304870605
30	115.25	541.4	157.0	516	157.0	516	966.110494852066
