iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.0	452.2	102.9174089068826	459	102.9174089068826	459	4.748553276062012
1	100.05	445.9875	102.84195344129554	459	102.84195344129554	459	10.178048133850098
2	100.05	445.3125	102.83375506072875	459	102.83375506072875	459	11.47653317451477
3	100.05	443.225	102.8084008097166	459	102.8084008097166	459	11.089473724365234
4	100.05	442.6875	102.80187246963564	459	102.80187246963564	459	10.04781723022461
5	100.0625	442.0125	102.79367408906882	459	102.79367408906882	459	10.51689386367798
6	100.0625	442.8875	102.8043016194332	459	102.8043016194332	459	11.34245753288269
7	100.08749999999999	442.95	102.80506072874493	459	102.80506072874493	459	10.67277979850769
8	100.4125	443.2	111.92955465587045	449	111.92955465587045	449	11.19402003288269
9	100.425	445.1875	111.95369433198381	449	111.95369433198381	449	9.80098295211792
10	100.675	445.8	111.96113360323886	449	111.96113360323886	449	10.9960196018219
11	100.88749999999999	446.975	111.9754048582996	449	111.9754048582996	449	11.764383792877195
12	100.9625	446.825	111.97358299595142	449	111.97358299595142	449	15.093666076660156
13	101.33749999999999	446.8875	113.7557186234818	467	113.7557186234818	467	10.670315980911257
14	101.18750000000001	446.325	113.74888663967613	467	113.74888663967613	467	10.839698314666748
15	101.9125	448.4875	120.75086032388664	469	120.75086032388664	469	12.48617386817932
16	102.42500000000001	451.2875	120.78486842105264	469	120.78486842105264	469	11.697535037994385
17	103.3125	452.8375	130.8644230769231	464	130.8644230769231	464	12.243568658828735
18	103.86250000000001	454.4625	130.88415991902832	464	130.88415991902832	464	13.169119834899902
19	106.03750000000001	455.7	141.95991902834007	459	141.95991902834007	459	15.74679446220398
20	104.6	456.0	141.96356275303643	459	141.96356275303643	459	16.367388486862183
21	104.725	452.675	141.9231781376518	459	141.9231781376518	459	12.283451318740845
22	105.775	453.3375	141.93122469635628	459	141.93122469635628	459	13.173183679580688
23	104.9125	453.75	141.93623481781376	459	141.93623481781376	459	14.174640417099
24	107.19999999999999	454.0375	141.93972672064777	459	141.93972672064777	459	15.232717514038086
25	109.35000000000001	454.5875	153.89782388663966	463	153.89782388663966	463	18.960747480392456
26	109.05	459.275	153.95475708502022	463	153.95475708502022	463	19.821954011917114
27	111.9625	462.1625	161.00197368421053	462	161.00197368421053	462	29.061442136764526
28	112.67500000000001	464.7	161.78987854251014	482	161.78987854251014	482	30.160277366638184
29	111.08749999999999	464.3125	161.78517206477736	482	161.78517206477736	482	24.993109941482544
30	107.8625	458.3125	161.71229757085024	482	161.71229757085024	482	23.445597648620605
