iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.35	451.625	124.85268762677485	462	124.85268762677485	462	5.269921064376831
1	100.51249999999999	449.05	124.81612576064909	462	124.81612576064909	462	12.731359243392944
2	100.575	447.975	124.80086206896551	462	124.80086206896551	462	11.997804880142212
3	100.6875	449.55	124.82322515212982	462	124.82322515212982	462	13.999839782714844
4	100.7125	447.7625	124.7978448275862	462	124.7978448275862	462	11.600589513778688
5	101.16250000000001	450.0625	124.83050202839758	462	124.83050202839758	462	11.568331480026243
6	101.3625	453.575	124.88037525354969	462	124.88037525354969	462	13.429321765899658
7	101.66250000000001	452.5125	130.83689148073023	464	130.83689148073023	464	14.13054084777832
8	101.6	451.3	130.81967545638946	464	130.81967545638946	464	12.684529542922974
9	101.9125	451.2625	130.8191430020284	464	130.8191430020284	464	36.89744329452515
10	102.3625	452.175	130.83209939148074	464	130.83209939148074	464	43.9031674861908
11	102.325	453.3875	130.8493154158215	464	130.8493154158215	464	57.70078134536743
12	102.2875	449.3	130.79127789046655	464	130.79127789046655	464	26.7685489654541
13	102.75	450.9125	130.8141734279919	464	130.8141734279919	464	22.296164751052856
14	102.9	450.6625	130.8106237322515	464	130.8106237322515	464	23.43790435791016
15	103.41250000000001	451.85	130.82748478701825	464	130.82748478701825	464	25.95605421066284
16	103.72500000000001	452.375	133.77814401622717	468	133.77814401622717	468	27.84736156463623
17	103.5	449.325	135.79163286004055	464	135.79163286004055	464	23.464624881744385
18	104.2375	451.7875	135.82659736308318	464	135.82659736308318	464	27.3453950881958
19	104.42500000000001	453.2125	135.84683062880325	464	135.84683062880325	464	26.602211713790894
20	104.8125	456.9375	135.89972109533468	464	135.89972109533468	464	18.515395164489743
21	104.725	457.1625	135.902915821501	464	135.902915821501	464	15.61470365524292
22	103.93749999999999	454.425	135.86404665314402	464	135.86404665314402	464	14.610703706741331
23	103.6625	451.1	135.81683569979717	464	135.81683569979717	464	13.543628692626951
24	104.5875	452.2875	135.83369675456387	464	135.83369675456387	464	15.742632865905762
25	104.22500000000001	453.9125	135.85676977687626	464	135.85676977687626	464	13.888344049453735
26	104.22500000000001	453.9125	135.85676977687626	464	135.85676977687626	464	13.837008714675903
27	104.53750000000001	455.175	135.8746957403651	464	135.8746957403651	464	12.69009804725647
28	106.425	457.7125	144.85393002028397	468	144.85393002028397	468	14.606921195983888
29	106.47500000000001	461.2875	144.9046906693712	468	144.9046906693712	468	17.12998867034912
30	105.925	460.325	144.8910243407708	468	144.8910243407708	468	18.63298535346985
