iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.05000000000001	452.3875	101.95340909090909	457	101.95340909090909	457	4.6014251708984375
1	100.3375	452.4375	109.94381313131314	458	109.94381313131314	458	13.363614559173584
2	100.35000000000001	450.4625	109.92386363636363	458	109.92386363636363	458	12.179776668548584
3	100.4	449.1375	109.9104797979798	458	109.9104797979798	458	14.699096202850342
4	100.45	449.0	109.90909090909089	458	109.90909090909089	458	12.34658694267273
5	100.7875	450.1125	117.94053030303031	456	117.94053030303031	456	12.726712942123411
6	101.075	450.4125	117.94356060606061	456	117.94356060606061	456	11.978365421295166
7	102.075	449.2375	128.88118686868685	461	128.88118686868685	461	12.944839000701904
8	102.825	450.75	128.89646464646464	461	128.89646464646464	461	19.074851036071777
9	102.18749999999999	448.1625	128.87032828282827	461	128.87032828282827	461	11.035773515701294
10	102.81250000000001	449.55	128.88434343434344	461	128.88434343434344	461	11.471420049667358
11	103.7125	450.5875	128.89482323232323	461	128.89482323232323	461	12.659813642501833
12	103.3125	451.3625	128.90265151515152	461	128.90265151515152	461	13.269089937210085
13	103.60000000000001	452.0375	128.9094696969697	461	128.9094696969697	461	11.98699116706848
14	103.2125	451.6125	128.90517676767678	461	128.90517676767678	461	13.163302659988403
15	103.85	455.6125	128.9455808080808	461	128.9455808080808	461	12.952143669128418
16	103.65	456.925	128.95883838383838	461	128.95883838383838	461	13.624290943145752
17	104.78750000000001	460.75	128.99747474747474	461	128.99747474747474	461	20.6320595741272
18	104.1625	458.7625	128.977398989899	461	128.977398989899	461	17.026678800582886
19	104.39999999999999	463.05	129.02070707070706	461	129.02070707070706	461	15.37593698501587
20	104.12500000000001	457.3625	128.96325757575755	461	128.96325757575755	461	15.187524318695068
21	104.52499999999999	458.7125	128.97689393939393	461	128.97689393939393	461	22.53555941581726
22	105.06249999999999	459.3375	128.98320707070707	461	128.98320707070707	461	16.61707901954651
23	104.06250000000001	456.2375	128.95189393939393	461	128.95189393939393	461	18.224339485168457
24	104.85000000000001	461.05	129.00050505050504	461	129.00050505050504	461	26.35364270210266
25	104.25	456.15	146.40555555555554	515	146.40555555555554	515	32.567143201828
26	103.98749999999998	456.7625	146.41174242424242	515	146.41174242424242	515	17.877580642700195
27	103.60000000000001	457.7875	146.42209595959596	515	146.42209595959596	515	16.780348777770996
28	105.975	462.875	146.47348484848484	515	146.47348484848484	515	21.50721740722656
29	106.08749999999999	469.9625	146.54507575757575	515	146.54507575757575	515	27.725467920303345
30	105.8375	467.7625	146.52285353535353	515	146.52285353535353	515	37.42389225959778
