iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	98.73159375	457.2375	104.565	468	104.565	468	5.489859342575073
1	99.00396875	453.025	108.575	460	108.575	460	11.420471668243408
2	99.0680625	452.325	108.575	460	108.575	460	12.138393878936768
3	99.04559375	451.3375	108.575	460	108.575	460	10.06641960144043
4	99.37265625	455.175	108.575	460	108.575	460	11.318054437637329
5	99.375375	454.0875	108.575	460	108.575	460	10.19274640083313
6	99.34153125	452.6625	108.575	460	108.575	460	11.400927782058716
7	99.52721875	453.2	108.575	460	108.575	460	12.660395383834839
8	99.69125	452.425	126.515	466	126.515	466	11.044592142105103
9	99.7841875	450.1625	126.515	466	126.515	466	12.029836177825928
10	99.79759375	449.7875	126.515	466	126.515	466	12.791463851928711
11	100.3039375	451.7375	126.515	466	126.515	466	11.882225513458252
12	101.4165	455.5875	126.515	466	126.515	466	12.921617031097412
13	100.82825	456.475	126.515	466	126.515	466	13.136151313781738
14	100.90359375	456.2625	126.515	466	126.515	466	11.98811149597168
15	101.26778125	455.225	126.515	466	126.515	466	12.919599294662476
16	101.127625	456.425	126.515	466	126.515	466	12.476732730865479
17	102.47025000000001	458.025	135.4875	468	135.4875	468	15.40721607208252
18	103.6268125	459.2375	149.4475	470	149.4475	470	17.63105797767639
19	102.93003125	458.65	149.4475	470	149.4475	470	16.67020034790039
20	104.85434375	461.9875	149.4475	470	149.4475	470	20.739417552947998
21	104.1335	461.05	155.41000000000003	479	155.41000000000003	479	16.39742159843445
22	108.20190625000001	464.6	157.38500000000002	487	157.38500000000002	487	25.443666458129883
23	107.87103125	467.275	157.38500000000002	487	157.38500000000002	487	24.044628858566284
24	109.096	471.05	164.3375	499	164.3375	499	88.9880895614624
25	108.32003125	472.2125	164.3375	499	164.3375	499	31.270546674728394
26	111.97509375	476.5125	164.3375	499	164.3375	499	57.70167899131775
27	112.699875	480.8625	164.3375	499	164.3375	499	82.51641631126404
28	110.3274375	482.2125	164.3375	499	164.3375	499	95.31729435920715
29	109.31525	483.1	164.3375	499	164.3375	499	125.78785037994385
30	112.1080625	488.1625	164.3375	499	164.3375	499	72.54460978507996
