iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	98.5415	468.4375	105.5425	476	105.5425	476	9.71855354309082
1	99.30590625	471.9	118.525	470	118.525	470	15.873539686203003
2	99.9373125	468.7125	127.42750000000001	500	127.42750000000001	500	16.609776496887207
3	100.72975	470.9375	128.42000000000002	502	128.42000000000002	502	20.165199518203735
4	102.32615625	470.775	128.42000000000002	502	128.42000000000002	502	32.00827383995056
5	101.36681250000001	470.475	128.42000000000002	502	128.42000000000002	502	28.424119234085083
6	101.86090625	472.3375	128.42000000000002	502	128.42000000000002	502	42.71564865112305
7	102.021375	472.9875	128.42000000000002	502	128.42000000000002	502	47.64593577384949
8	104.969375	475.825	155.3625	498	155.3625	498	43.69596314430237
9	105.89471875000001	479.75	155.3625	498	155.3625	498	48.29297161102295
10	109.35946875	485.3625	155.3625	498	155.3625	498	70.36413192749023
11	110.8538125	491.1125	155.3625	498	155.3625	498	88.04837131500244
12	107.47334375	491.6875	155.3625	498	155.3625	498	87.37061882019043
13	111.4564375	494.45	159.29	523	159.29	523	69.18087840080261
14	115.80003125	497.65	169.31250000000003	504	169.31250000000003	504	123.30348873138428
15	117.87634375	505.025	172.3275	495	172.3275	495	199.98411464691162
16	114.9415	511.8875	172.3275	495	172.3275	495	254.78894186019897
17	109.61146875	499.275	172.3275	495	172.3275	495	162.68731212615967
18	114.93103125	501.1125	172.3275	495	172.3275	495	129.40257668495178
19	116.26659375	510.525	172.3275	495	172.3275	495	247.57530212402344
20	115.18578125	503.95	172.3275	495	172.3275	495	188.29181814193726
21	113.9981875	505.175	172.3275	495	172.3275	495	157.88574123382568
22	107.98640625	495.9375	172.3275	495	172.3275	495	104.5492844581604
23	111.23165625	494.5875	172.3275	495	172.3275	495	64.66298460960388
24	115.53190625	505.15	172.3275	495	172.3275	495	127.01789712905884
25	115.4225625	504	172.3275	495	172.3275	495	187.33656668663025
26	111.53065625	499.675	172.3275	495	172.3275	495	100.77446985244751
27	117.23512500000001	507.15	172.3275	495	172.3275	495	238.4424376487732
28	122.40765625	517.925	172.3275	495	172.3275	495	357.81068897247314
29	116.86328125	521.225	172.3275	495	172.3275	495	522.3488042354584
30	114.97853125	522.0125	172.3275	495	172.3275	495	542.164888381958
