iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.975	476.475	101.0	487	101.0	487	5.936681747436523
1	100.0625	478.0125	102.0	481	102.0	481	12.118237733840942
2	100.075	477.2125	103.0	483	103.0	483	12.056394577026367
3	100.0125	474.325	101.0	495	103.0	483	12.093573093414307
4	99.9375	474.725	102.0	484	103.0	483	10.635942459106445
5	100.175	477.05	104.0	476	104.0	476	11.234463453292847
6	100.1	474.7375	107.0	485	107.0	485	12.741143941879272
7	100.3625	477.6125	112.0	498	112.0	498	12.358424425125122
8	99.775	480.575	124.0	499	124.0	499	14.536868572235107
9	99.9625	482.55	126.0	504	126.0	504	20.757088899612427
10	99.75	482.175	104.0	489	126.0	504	14.207675695419312
11	100.55	480.075	141.0	508	141.0	508	13.899049997329712
12	99.8625	477.95	103.0	481	141.0	508	14.755550622940063
13	100.1875	479.3625	113.0	481	141.0	508	12.051079273223877
14	99.9375	480.5875	101.0	487	141.0	508	11.968474864959717
15	100.1125	481.575	104.0	498	141.0	508	11.919502973556519
16	100.0375	481.875	103.0	483	141.0	508	12.278398752212524
17	99.975	480.375	102.0	482	141.0	508	13.244237899780273
18	99.875	478.1	101.0	508	141.0	508	13.874874114990234
19	100.0	478.6	100.0	472	141.0	508	13.669670581817627
20	100.0	480.75	101.0	495	141.0	508	12.25755763053894
21	99.9625	483.425	102.0	496	141.0	508	12.5927414894104
22	99.9875	489.5875	102.0	495	141.0	508	13.402583599090576
23	99.9625	491.35	101.0	507	141.0	508	14.554788589477539
24	99.9625	492.1125	101.0	503	141.0	508	13.835251808166504
25	99.95	491.4125	102.0	520	141.0	508	14.279114484786987
26	100.025	492.15	102.0	491	141.0	508	16.092668771743774
27	100.0	489.2875	101.0	494	141.0	508	12.954233646392822
28	100.0125	489.975	102.0	516	141.0	508	12.862497329711914
29	100.0	489.05	100.0	477	141.0	508	12.993221521377563
30	100.075	485.725	103.0	510	141.0	508	13.067225217819214
