iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.0125	474.85	103.0	479	103.0	479	4.836679458618164
1	100.2	475.5	106.0	480	106.0	480	11.844591617584229
2	100.2375	477.375	106.0	480	106.0	480	11.208457469940186
3	100.725	476.75	112.0	484	112.0	484	13.235383987426758
4	101.05	478.4625	120.0	496	120.0	496	15.653740644454956
5	101.3375	477.2875	126.0	494	126.0	494	11.244346380233765
6	102.0625	483.3625	126.0	494	126.0	494	15.132874488830566
7	101.7375	484.475	126.0	494	126.0	494	14.246031522750854
8	102.475	483.2125	126.0	494	126.0	494	23.73473334312439
9	102.25	483.7625	131.0	502	131.0	502	18.667216062545776
10	102.6875	482.5875	131.0	502	131.0	502	15.249006271362305
11	103.3375	484.7125	131.0	502	131.0	502	18.012739181518555
12	104.175	486.3	132.0	499	132.0	499	33.962830781936646
13	103.95	487.5375	156.0	500	156.0	500	21.16056728363037
14	104.9375	494.125	156.0	500	156.0	500	40.92086482048035
15	104.075	492.275	156.0	500	156.0	500	68.43110036849976
16	106.7	501.75	156.0	500	156.0	500	56.570298194885254
17	104.025	494.675	156.0	500	156.0	500	33.32124948501587
18	102.925	492.2125	156.0	500	156.0	500	32.980963468551636
19	104.4	495.3875	156.0	500	156.0	500	34.846479654312134
20	104.0	494.7	156.0	500	156.0	500	54.76967525482178
21	104.9125	496.45	156.0	500	156.0	500	82.09677934646606
22	104.1125	496.6875	156.0	500	156.0	500	55.35656809806824
23	103.3375	493.7375	156.0	500	156.0	500	45.10586857795715
24	104.2125	501.0125	156.0	500	156.0	500	84.00491642951965
25	104.0125	506.25	156.0	500	156.0	500	129.69283628463745
26	104.425	503.1	156.0	500	156.0	500	124.19015264511108
27	104.1875	501.5125	156.0	500	156.0	500	67.93658876419067
28	104.9375	505.2	156.0	500	156.0	500	81.11292147636414
29	107.475	518.4	156.0	500	156.0	500	162.27209210395813
30	104.6875	504.9375	156.0	500	156.0	500	126.76150822639465
