iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.0125	476.075	104.0	485	104.0	485	4.112994432449341
1	100.075	477.9125	104.0	485	104.0	485	13.669413805007935
2	100.2	478.2875	104.0	485	104.0	485	9.790320873260498
3	100.5125	479.325	109.0	499	109.0	499	14.062979698181152
4	101.4	483.5125	117.0	502	117.0	502	18.39179277420044
5	102.225	482.8375	125.0	501	125.0	501	23.044340133666992
6	103.6625	487.7	125.0	501	125.0	501	19.03372073173523
7	105.625	492.75	127.0	501	127.0	501	37.95567178726196
8	107.6625	495.45	134.0	499	134.0	499	27.46165418624878
9	107.6	492.7375	137.0	505	137.0	505	26.745009899139404
10	109.2375	499.875	137.0	505	137.0	505	76.34182929992676
11	107.1	494.3625	139.0	525	139.0	525	49.86741256713867
12	108.375	495.7125	139.0	525	139.0	525	55.29370975494385
13	110.6	504.375	139.0	525	139.0	525	153.07547640800476
14	112.2	508.925	140.0	509	140.0	509	124.48327207565308
15	111.625	507.8875	140.0	509	140.0	509	167.05402040481567
16	110.625	504.625	140.0	509	140.0	509	91.55631065368652
17	112.3625	509.8875	155.0	531	155.0	531	122.47918581962585
18	113.3875	515.9	155.0	531	155.0	531	133.55273604393005
19	113.45	518.625	155.0	531	155.0	531	221.74497628211975
20	111.6125	508.2875	155.0	531	155.0	531	153.62140560150146
21	113.0375	517.025	155.0	531	155.0	531	298.0023002624512
22	117.825	526	155.0	531	155.0	531	435.19282484054565
23	114.55	514.1875	155.0	531	155.0	531	140.6382668018341
24	115.8125	525.4125	155.0	531	155.0	531	308.8989896774292
25	116.1125	532.8625	155.0	531	155.0	531	449.77320098876953
26	113.275	529.725	155.0	531	155.0	531	410.23598170280457
27	115.05	521.175	155.0	531	155.0	531	612.5841965675354
28	113.05	523.95	155.0	531	155.0	531	178.82775354385376
29	116.3625	530.175	155.0	531	155.0	531	312.92882347106934
30	114.225	519.95	155.0	531	155.0	531	343.1431510448456
