iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.0	476.4625	102.0	484	102.0	484	4.415613651275635
1	100.05	473.7875	102.0	484	102.0	484	10.851435661315918
2	100.1125	475.6	103.0	477	103.0	477	14.926320314407349
3	100.2	476.875	103.0	492	103.0	477	9.816455125808716
4	100.4375	477.1	106.0	503	106.0	503	14.121241569519043
5	100.475	477.1375	106.0	503	106.0	503	11.425004005432129
6	100.7875	479.7375	111.0	500	111.0	500	11.283310413360596
7	100.8125	479	111.0	500	111.0	500	15.289819478988647
8	102.25	482.8	143.0	501	143.0	501	15.637397050857544
9	102.0875	482.2125	143.0	501	143.0	501	31.76970672607422
10	103.175	486.0625	143.0	501	143.0	501	21.349345207214355
11	104.0875	489.2375	143.0	501	143.0	501	32.21184706687927
12	104.425	487.5375	143.0	501	143.0	501	16.344375610351562
13	106.5	495.0875	143.0	501	143.0	501	88.12707161903381
14	106.225	497.4625	143.0	501	143.0	501	54.37725234031677
15	106.575	499.6875	143.0	501	143.0	501	56.489699602127075
16	105.7	494.8125	143.0	501	143.0	501	38.42647647857666
17	107.4125	499.2875	148.0	496	148.0	496	43.48957180976868
18	108.8	503.4625	148.0	496	148.0	496	149.16611886024475
19	110.4375	505.0625	148.0	496	148.0	496	106.70919275283813
20	109.975	506.7125	148.0	496	148.0	496	119.84783434867859
21	111.475	517.475	149.0	551	149.0	551	172.5911169052124
22	114.2	527.05	149.0	551	149.0	551	204.75531220436096
23	115.1375	529.25	149.0	551	149.0	551	269.9372112751007
24	115.225	526.4125	149.0	551	149.0	551	168.35559129714966
25	117.3	537.4	162.0	518	162.0	518	359.51549339294434
26	111.3	532.5375	162.0	518	162.0	518	683.2655427455902
27	112.0	538.7	162.0	518	162.0	518	1217.2277574539185
28	113.5	552.325	162.0	518	162.0	518	725.0857434272766
29	114.675	553.9375	162.0	518	162.0	518	1098.3028893470764
30	114.8875	553.825	162.0	518	162.0	518	776.0759537220001
