iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	100.2	476.075	109.0	479	109.0	479	4.236723899841309
1	100.3375	477.1	109.0	479	109.0	479	10.38109278678894
2	100.6	477.325	109.0	479	109.0	479	10.853631496429443
3	100.7	476.1625	109.0	479	109.0	479	14.623438119888306
4	101.85	481.4125	129.0	483	129.0	483	13.798582077026367
5	102.4875	482.6125	129.0	483	129.0	483	15.123382806777954
6	102.8625	482.225	129.0	483	129.0	483	19.872477531433105
7	102.425	479.875	129.0	483	129.0	483	13.704636335372925
8	103.9875	483.5125	138.0	487	138.0	487	19.279784440994263
9	105.2625	486.675	140.0	503	140.0	503	22.368718147277832
10	108.2875	495.0625	140.0	504	140.0	503	38.72599911689758
11	107.8	496.9375	140.0	503	140.0	503	66.7652223110199
12	108.6375	493.5875	140.0	503	140.0	503	69.04345059394836
13	110.25	499.725	140.0	504	140.0	503	77.69882559776306
14	109.1625	498.95	140.0	504	140.0	503	138.0668773651123
15	112.025	502.0625	142.0	555	142.0	555	78.09226751327515
16	112.6375	506.5875	142.0	555	142.0	555	89.57970142364502
17	117.0375	512.4375	142.0	555	142.0	555	111.67931723594666
18	114.575	513.75	142.0	555	142.0	555	155.4301311969757
19	113.175	511.525	145.0	527	145.0	527	144.2840392589569
20	111.5	502.3625	145.0	567	145.0	527	145.96217131614685
21	115.3375	517.525	145.0	567	145.0	527	289.92435479164124
22	112.9875	517.9375	145.0	527	145.0	527	326.96011185646057
23	118.7	533.8125	150.0	538	150.0	538	363.5289669036865
24	118.5	531.1	150.0	538	150.0	538	455.9436192512512
25	117.6	539.6625	150.0	538	150.0	538	464.2499806880951
26	119.2	538.525	150.0	538	150.0	538	670.4472942352295
27	120.2	547.8375	150.0	538	150.0	538	1242.2227983474731
28	116.4875	532.7375	150.0	538	150.0	538	523.0901019573212
29	122.9625	557.2125	150.0	538	150.0	538	1160.264526128769
30	117.45	540.4125	150.0	538	150.0	538	497.37425351142883
