iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	99.9875	475.6375	101.0	472	101.0	472	4.722774267196655
1	99.9125	477.9	102.0	486	102.0	486	11.299518823623657
2	100.075	477.9875	109.0	487	109.0	487	10.559283018112183
3	100.0	475.15	101.0	478	109.0	487	13.764201164245605
4	100.025	474.4375	102.0	484	109.0	487	10.03628945350647
5	100.0375	474.7125	102.0	486	109.0	487	11.488989353179932
6	99.9125	475.275	100.0	474	109.0	487	14.550288200378418
7	99.9375	474.5375	101.0	488	109.0	487	12.281713008880615
8	100.175	474.925	114.0	494	114.0	494	14.301243543624878
9	100.4375	475.4875	119.0	494	119.0	494	11.623457431793213
10	100.1125	476.1	104.0	486	119.0	494	10.269884824752808
11	100.2875	479.7125	118.0	492	119.0	494	14.343816995620728
12	100.2125	480.0375	111.0	502	119.0	494	11.910465955734253
13	100.6875	482.3625	124.0	506	124.0	506	14.701068878173828
14	100.9875	481.425	131.0	502	131.0	502	15.534557580947876
15	101.0	479.9	124.0	500	131.0	502	14.053079843521118
16	100.15	477.5125	107.0	496	131.0	502	13.784570693969727
17	100.75	478.5375	128.0	520	131.0	502	21.03937554359436
18	100.4625	483.3375	116.0	493	131.0	502	16.34636926651001
19	100.275	477.6	107.0	503	131.0	502	13.717966318130493
20	100.275	479.375	107.0	489	131.0	502	16.318461179733276
21	100.2375	481.4875	117.0	496	131.0	502	14.11827826499939
22	100.1125	488.475	112.0	495	131.0	502	16.428802013397217
23	100.8	488.2625	115.0	507	131.0	502	16.484668016433716
24	100.9	492.3125	113.0	532	131.0	502	36.887033224105835
25	100.6625	490.8625	124.0	512	131.0	502	24.76067852973938
26	100.55	491.5375	117.0	520	131.0	502	30.351603507995605
27	99.8625	483.1875	104.0	515	131.0	502	64.98516488075256
28	100.25	482.7125	107.0	496	131.0	502	14.384477615356445
29	100.3	481.0125	118.0	488	131.0	502	12.49834680557251
30	100.2125	478.8125	113.0	510	131.0	502	14.889968633651733
