iter	avg_fitness	avg_size	best_fitness_gen	best_size_gen	best_fitness_all	best_size_all	time
0	95.3327	475.6625	96.35199999999999	480	96.35199999999999	480	4.6745545864105225
1	95.5292	471.25	102.296	481	102.296	481	10.763298749923706
2	95.5359	470.4125	102.296	481	102.296	481	11.358176708221436
3	95.5496	468.7	102.296	481	102.296	481	9.783955574035645
4	95.605	467.975	102.296	481	102.296	481	10.788591384887695
5	95.6082	467.575	102.296	481	102.296	481	12.729900598526001
6	95.69590000000001	467.4625	102.296	481	102.296	481	10.09915804862976
7	95.6967	467.3625	102.296	481	102.296	481	10.635698080062866
8	95.7074	467.575	102.296	481	102.296	481	10.675982475280762
9	95.8223	468.7125	102.296	481	102.296	481	10.927565574645996
10	95.9402	471.025	102.296	481	102.296	481	11.268516063690186
11	96.285	472.875	102.296	481	102.296	481	10.282497882843018
12	96.601	475.225	108.224	484	108.224	484	10.932485342025757
13	96.6428	473.1	119.11999999999999	486	119.11999999999999	486	10.901855230331421
14	96.72500000000001	472.125	119.11999999999999	486	119.11999999999999	486	11.271688461303711
15	96.6356	472.45	119.11999999999999	486	119.11999999999999	486	10.953202962875366
16	96.8294	474.575	119.11999999999999	486	119.11999999999999	486	10.889996528625488
17	96.7934	474.425	119.11999999999999	486	119.11999999999999	486	11.477136850357056
18	97.4058	473.825	131.952	494	131.952	494	14.41222620010376
19	97.4295	473.9625	131.952	494	131.952	494	10.893277406692505
20	97.2013	473.0375	131.952	494	131.952	494	10.369893074035645
21	97.52120000000001	474.9	131.952	494	131.952	494	11.500653982162476
22	98.4885	476.4375	131.952	494	131.952	494	13.052019834518433
23	99.8549	480.7875	135.928	493	135.928	493	21.659011840820312
24	102.2589	487.1875	135.928	493	135.928	493	27.463640213012695
25	100.3505	488.5875	135.928	493	135.928	493	37.58115792274475
26	100.3848	487.4	135.928	493	135.928	493	40.182656049728394
27	100.4682	484.725	135.928	493	135.928	493	58.74104619026184
28	103.0422	491.575	135.928	493	135.928	493	83.66496729850769
29	107.5142	501.425	135.928	493	135.928	493	137.08795070648193
30	106.7665	500.3375	135.928	493	135.928	493	179.6726369857788
